model,perturbation_method,performance
typeform/distilbert-base-uncased-mnli,original,0.8179
typeform/distilbert-base-uncased-mnli,adjective_to_relative_clause,0.8086
typeform/distilbert-base-uncased-mnli,parenthetical_insertion,0.8117
typeform/distilbert-base-uncased-mnli,appositive_person_insertion,0.7994
valhalla/distilbart-mnli-12-6,original,0.8922
valhalla/distilbart-mnli-12-6,adjective_to_relative_clause,0.8825
valhalla/distilbart-mnli-12-6,parenthetical_insertion,0.8894
valhalla/distilbart-mnli-12-6,appositive_person_insertion,0.8942
PavanNeerudu/gpt2-finetuned-mnli,original,0.6768
PavanNeerudu/gpt2-finetuned-mnli,adjective_to_relative_clause,0.6356
PavanNeerudu/gpt2-finetuned-mnli,parenthetical_insertion,0.656
PavanNeerudu/gpt2-finetuned-mnli,appositive_person_insertion,0.6275
typeform/mobilebert-uncased-mnli,original,0.8334
typeform/mobilebert-uncased-mnli,adjective_to_relative_clause,0.8207
typeform/mobilebert-uncased-mnli,parenthetical_insertion,0.8315
typeform/mobilebert-uncased-mnli,appositive_person_insertion,0.8317
